,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
90,moong dal kiwi coconut soup,soup,"धूली मूंग दाल नमक के साथ उबली हुई, कीवी, नारियल क्रीम, तेल, तेजपत्ता , जीरा, काली मिर्च, लहसुन की कलियां ,, प्याज, हल्दी पाउडर, करी पाउडर, नमक , ताजा हरा धनिया",veg,sodium, scurvy obesity hypertension, dash_diet high_fiber_diet paleo_diet ketogenic_diet alkaline_diet gluten_free_diet,495
91,banana and maple ice lollies,banana,"केले, ग्रीक योगर्ट, हैवी क्रीम, प्योर मैपल सिरप , नारियल",veg,selenium, hypertension, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet,490
92,shepherds salad (tamatar-kheera salaad),salad,"1 खीरा छीलकर कटा हुआ, प्याज, टमाटर, हरी मिर्च, लहसुन की कलियां, पासर्ले, जैतून का तेल, नींबू का रस, नमक और कालीमिर्च",veg,fiber, goitre obesity hypertension, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet high_protien_diet,325
93,carrot ginger soup,soup,"गाजर, जैतून का तेल, नमक, वेजिटेबल स्टॉक, अदरक , थाइम , प्याज, लहसुन की कलियां, कालीमिर्च (ताजी पीसी हुई)",veg,sodium, obesity, high_fiber_diet alkaline_diet,350
94,dark night,apple,"whisky, honey, cinnamon, star anise, cloves, green apple",veg,iron, heart_disease eye_disease rickets scurvy hypertension anemia, high_fiber_diet low_fat_diet vegan_diet ketogenic_diet,430
95,hot chocolate,chocolate,"milk, chocolate, cocoa powder, powdered sugar, cinnamon, vanilla",veg,magnesium, heart_disease scurvy cancer hypertension goitre, high_fiber_diet ketogenic_diet high_protien_diet,340
96,slow cooked spiced sangria,sangria,"red wine (merlot / zinfandel), apple cider, honey, orange (zested and juiced), cloves (whole), green cardamom, cinnamon sticks, anise (whole), brandy",veg,iron, goitre heart_disease scurvy obesity diabeties kidney_disease anemia pregnancy, high_fiber_diet low_fat_diet vegan_diet ketogenic_diet,270
97,detox haldi tea,tea,"haldi, ginger, black pepper, honey, water",veg,manganese, heart_disease, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet vegan_diet,450
98,holi special ice tea thandai,tea,"ground white pepper (kali mirch), assam tea bags, almonds (badam) - coarsley crushed, poppy seeds (khus-khus), fennel seeds (saunf) (crushed coarsely), cardamom (elaichi) powder, ground sugar, saffron (kesar) strands",veg,calcium, kidney_disease heart_disease, ketogenic_diet hormone_diet low_fat_diet vegan_diet high_protien_diet,205
99,grilled lemon margarita,margarita,"vanilla infused tequila, vanilla liqueur, lemon juice, lemon, lemon",veg,vitamin_c, scurvy goitre, vegan_diet,350
100,spanish artichoke and spinach dip,dip,"spinach, onion, cream, garlic, nutmeg, salt, lime juice, artichoke hearts (cubed), polenta, refined flour, salt, water, butter, flour, salt, pepper (freshly ground)",veg,vitamin_c, kidney_disease scurvy anemia, dash_diet high_fiber_diet type_a_diet ketogenic_diet,495
101,beetroot and green apple soup,soup,"beetroots, green apple, onion, olive oil, salt, black peppercorns (crushed), butter, vegetable stock, mixed dried herbs, fresh cream, lemon juice, parsley sprigs, red chilli flakes, soup sticks as required",veg,sodium, goitre heart_disease scurvy obesity diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet alkaline_diet hormone_diet high_protien_diet,565
102,baba budan no. 7,cardamom,"rum, espresso, sugar syrup/gur (jaggery) syrup, green cardamom pod,",veg,iron, rickets heart_disease eye_disease scurvy, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet vegan_diet,260
103,fruit infused tea,tea,"chamomile tea bags, orange, berries, blueberries, ginger, mint leaves, boiling water",veg,manganese, heart_disease eye_disease scurvy obesity diabeties hypertension pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet vegan_diet high_protien_diet,480
104,soya milk,milk,"सोयाबीन, गर्म पानी",veg,vitamin_d, rickets cancer hypertension, dash_diet high_fiber_diet ketogenic_diet low_fat_diet high_protien_diet,410
105,spiced coffee,coffee,"ताजी पीसी हुई कॉफी, इलाइची पाउडर, अदरक, दूध , चीनी, क्रीम , चॉकलेट",veg,manganese, anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet vegan_diet,570
106,filter coffee,coffee,"कॉफी पाउडर, पानी, दूध, चीनी",veg,manganese, kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet vegan_diet,345
107,detox haldi tea,tea,"हल्दी, अदरक, काली मिर्च, शहद, पानी",veg,manganese, heart_disease, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet vegan_diet,305
108,mixed berry &amp; banana smoothie,smoothie,"फिरोजन मिक्स बेरिज़, पका हुआ केला, ताजा संतरे का जूस, लो फैट दही",veg,selenium, hypertension diabeties, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet,295
109,banana walnut smoothie,smoothie,"लो फैट दही, केला, अखरोट, सीड्स  (फैक्ससीड्स और चिया सीड्स), शहद",veg,selenium, hypertension, high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet,290
110,steam bunny chicken bao,chicken,"buns, all purpose white flour, dry yeast, sugar, salt, warm water, chicken mince, eggs, soy sauce, sugar, sesame oil, worcestershire sauce, chives, aromat powder",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,630
111,meat lovers pizza,chicken,"millet flour, tapioca flour, soy milk, garlic powder, baking powder, salt, tomato sauce, mozzarella cheese, prosciutto, pepperoni, chicken salami, salami milano, rosemary, olive oil",non-veg,potassium, goitre obesity cancer kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet type_o_diet vegan_diet omni_diet high_protien_diet,675
112,garlic and pinenut soup with burnt butter essence,soup,"garlic cloves, almonds (whole), parsley, bayleaf, chicken broth, nutmeg, egg yolk, heavy cream, white bread slices, butter, salt, pepper, white wine",non-veg,vitamin_a, heart_disease obesity cancer diabeties hypertension kidney_disease, dash_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet type_a_diet,205
113,roast turkey with cranberry sauce,chicken,"whole turkey, butter, onion, celery, crumbled sage and thyme , salt and pepper, garlic minced, balsamic vinegar, sugar, cranberry",non-veg,chloride, goitre, high_protien_diet,425
114,chicken parmigiana with tomato sauce,chicken,"for chicken parmigiana:, chicken breast, egg whole frozen, flour, planko bread crumbs, fresh italian parsley, vegetable oil, solid butter unsalted, tomato sauce, mozzarella cheese, italian parmesan cheese, thyme, for pepperonata:, red pepper, green pepper, yellow pepper, red onion, fresh tomato, butternut squash, garlic, pure olive oil, vegetable oil, black pepper corn (crushed), salt, parsley, for garnishing:, parsley sprig, spinach",non-veg,vitamin_c, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,640
115,roasted spring chicken with root veggies,chicken,"whole chicken, thyme, garlic, lemon, orange, salt, black pepper, butter (to rub), extra olive oil, carrot, turnip, beetroot, chipotle powder, parsley",non-veg,iron, goitre rickets obesity hypertension kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet alkaline_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,650
116,peri peri chicken satay,chicken,"boneless skinless chicken thigh (trimmed), salt and pepper, yogurt, chilli powder, ginger garlic paste, coriander leaves, oil to fry, peri peri sauce, potato fries",non-veg,chloride, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,385
117,chicken popcorn,chicken,"chicken (boneless), corn flour or all purpose flour, egg, bread crumbs, salt, ginger garlic paste, black pepper, onion powder (optional), red chilli powder or paprika or cayenne pepper, oil for deep frying",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, dash_diet high_fiber_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,265
118,chocolate samosa,chicken,"refined flour, desi ghee, black cardamom seeds, chocolate block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil",non-veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,460
119,half roast chicken,chicken,"cooking oil, whole chicken (skin on- rinsed and dressed), onions (quartered- skin on), garlic (halved - skin on), carrots (roughly quartered), celery , thyme, dunkleweizen (pour into a glass and keep open at room temperature for an hour or two to make flat), chicken stock, butter, sea salt",non-veg,vitamin_a, goitre heart_disease rickets obesity scurvy diabeties kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,325
120,riceless chicken biryani,chicken,"malabar peppercorn, cinnamon stick, green cardamom pods, star anise, cloves, fennel seeds, vermicelli, desi ghee, shahi jeera, bay leaves, green chilli, mint leaves, onion, saffron, garlic paste, salt, chicken (dark meat), ginger paste, turmeric powder, coriander powder, red chilli powder, roma tomatoes (de-seedeed), water",non-veg,vitamin_c, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,670
121,chicken farcha,chicken,"boneless chicken thigh (without skin), lemon juice, garlic paste, ginger paste, red chilli powder, coriander powder, garam masala, black pepper (crushed), salt, bread crumbs / semolina, eggs, red chilli powder, oil",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,330
122,buldak (hot and spicy chicken),chicken,"chicken drum sticks/ chicken breast, soy sauce, sugar, traditional corn syrup (substitution honey), cheong ju (clear rice wine similar to japanese  sake), green onion, black pepper, olive oil, sesame seeds (optional), for marinating sauce:, gochugaru (red chili pepper flakes), alapenos, korean pear (substitution asian pear), onion, garlic, soy sauce, spicy yellow mustard, sesame oil, sugar, mul yut (substitution honey)",non-veg,magnesium, obesity, high_fiber_diet high_protien_diet,695
123,chicken sukka,chicken,"chicken (small pieces), onion (thin slices), cardamom, salt, oil, coriander, cumin, mustard, pepper, cloves, cinnamon, bedki chillies, kashmiri chilies, turmeric, onion, garlic, ginger, salt",non-veg,chloride, rickets anemia kidney_disease goitre pregnancy, hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,520
124,steamed chicken roulade,chicken,"lamb mince, garlic , salt, paprika powder, pomodaro tomatoes, olive oil, celery, shallots, carrot, black pepper, bay leaf, yellow chilli powder, cilantro, chicken thigh, salt, white pepper powder, garlic paste, white wine vinegar, olive oil, yellow chilli powder, refined oil, fenugreek seeds, white pepper powder, garlic, fenugreek leaves, onion, broken cashew, salt, fresh cream, kasoori methi",non-veg,iron, goitre rickets scurvy kidney_disease anemia pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,355
125,methi chicken masala,chicken,"boneless chicken, lemon juice, red chilli powder, salt, ginger garlic paste, curd, red chilli powder, salt, coriander powder, oil, onion, oil, bay leaf, green cardamom, black cardamom, cinnamon, ginger garlic paste, tomato, kasoori methi, green chilli, water",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,460
126,restaurant style fried chicken,chicken,"egg, salt, white pepper, maida, salt, red chilli powder, garlic powder, ginger powder, onion powder, oregano, chillil flakes, white pepper, basil, chicken drumsticks, salt, white pepper, bread crumbs (as required)",non-veg,iron, goitre rickets cancer kidney_disease anemia pregnancy, high_fiber_diet alkaline_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,275
127,chicken potli,chicken,"chicken, onion, green chilli, garlic, ginger, salt, aromatic powder, soya sauce, oyster sauce, spring onion, filo sheets",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,430
